twitchlink,emote_count,badge_count,chat_count,users_count,new_users_count
https://www.twitch.tv/ml7support,1386,3019,1941,2012,191
https://www.twitch.tv/a_seagull,199,1664,2049,2131,364
https://www.twitch.tv/loltyler1,406,1500,2099,2245,769
https://www.twitch.tv/summit1g,501,2018,2090,2159,405
https://www.twitch.tv/flats,262,2366,1675,1734,81
https://www.twitch.tv/riotgames,319,1403,2173,2216,1859
https://www.twitch.tv/rekkles,117,1306,748,788,41
https://www.twitch.tv/imls,135,2292,2147,2206,333
https://www.twitch.tv/iwdominate,81,2529,2157,2191,253
https://www.twitch.tv/doublelift,77,1563,1743,1785,174
